State,City,Place,Max,Min,Avg
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",108,42,70
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",102,43,76
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",118,46,73
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",6,4,5
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",109,2,41
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",102,18,44
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",35,12,29
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",115,6,50
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",119,15,60
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",125,70,40
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",128,3,105
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",114,89,60
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",103,2,30
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",130,51,108
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",72,28,46
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",83,40,64
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",89,36,61
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",3,2,2
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",12,6,10
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25,6,16
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",58,27,36
Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",73,32,46
Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",74,50,65
Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",18,13,15
Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",3,2,2
Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",23,11,14
Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",78,34,41
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",96,53,71
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",101,54,76
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",81,13,39
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",4,2,3
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",13,2,6
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",81,39,68
Bihar,Gaya,"Collectorate, Gaya - BSPCB",456,226,342
Bihar,Gaya,"Collectorate, Gaya - BSPCB",15,10,12
Bihar,Gaya,"Collectorate, Gaya - BSPCB",26,4,11
Bihar,Gaya,"Collectorate, Gaya - BSPCB",115,7,54
Bihar,Gaya,"Collectorate, Gaya - BSPCB",74,27,56
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",500,270,436
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",68,20,29
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",98,12,29
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",111,2,68
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",132,32,61
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",500,325,457
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",22,11,15
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",47,20,34
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",148,71,95
Delhi,Delhi,"Alipur, Delhi - DPCC",475,247,389
Delhi,Delhi,"Alipur, Delhi - DPCC",446,154,314
Delhi,Delhi,"Alipur, Delhi - DPCC",194,61,131
Delhi,Delhi,"Alipur, Delhi - DPCC",15,6,10
Delhi,Delhi,"Alipur, Delhi - DPCC",48,16,30
Delhi,Delhi,"Alipur, Delhi - DPCC",109,25,56
Delhi,Delhi,"Alipur, Delhi - DPCC",86,1,41
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",175,1,89
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29,66,20
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",500,45,418
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",455,156,333
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",88,12,40
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",175,68,89
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29,11,20
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",500,313,418
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",455,194,333
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",88,4,40
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",12,8,10
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",51,14,29
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",120,55,86
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",140,6,63
Delhi,Delhi,"Aya Nagar, Delhi - IMD",430,153,329
Delhi,Delhi,"Aya Nagar, Delhi - IMD",424,125,257
Delhi,Delhi,"Aya Nagar, Delhi - IMD",29,13,25
Delhi,Delhi,"Aya Nagar, Delhi - IMD",116,100,114
Delhi,Delhi,"Aya Nagar, Delhi - IMD",88,32,45
Delhi,Delhi,"Bawana, Delhi - DPCC",365,203,311
Delhi,Delhi,"Bawana, Delhi - DPCC",454,199,345
Delhi,Delhi,"Bawana, Delhi - DPCC",115,18,64
Delhi,Delhi,"Bawana, Delhi - DPCC",21,13,17
Delhi,Delhi,"Bawana, Delhi - DPCC",32,9,21
Delhi,Delhi,"Bawana, Delhi - DPCC",107,35,65
Delhi,Delhi,"Bawana, Delhi - DPCC",145,2,56
Delhi,Delhi,"Burari Crossing, Delhi - IMD",500,226,388
Delhi,Delhi,"Burari Crossing, Delhi - IMD",500,150,317
Delhi,Delhi,"Burari Crossing, Delhi - IMD",38,21,28
Delhi,Delhi,"Burari Crossing, Delhi - IMD",110,71,106
Delhi,Delhi,"Burari Crossing, Delhi - IMD",40,24,27
